id|Name|Sex|Age|Height|Weight|Team
11200|Kaori Matsumoto|F|28|163|57|Japan
11201|Naomi Matsumoto|F|32|166|60|Japan
11202|Ryutaro Matsumoto|M|26|168|60|Japan
11203|Katsumi Matsumura (-Tida)|F|28|173|74|Japan
11204|Yoshiko Matsumura (-Kanda)|F|22|170|65|Japan
11205|Masayuki Matsunaga|M|22|158|53|Japan
11206|Tomohiro Matsunaga|M|28|163|55|Japan
11207|Nobuhiko Matsunaka|M|22|182|90|Japan
11208|Yoshiyuki Matsuoka|M|27|164|65|Japan
11209|Misaki Matsutomo|F|24|160|50|Japan
11210|Daisuke Matsuzaka|M|23|182|85|Japan
11211|Alfred Matt|M|19|174|70|Austria
11212|Andreas Matt|M|27|192|100|Austria
11213|Mario Matt|M|34|190|90|Austria
11214|Ennio Mattarelli|M|36|181|86|Italy
11215|Bethanie Lynn Mattek-Sands|F|31|168|66|United States-2
11216|Coline Mattel|F|18|165|57|France
11217|Joachim Mattern|M|28|178|72|East Germany
11218|Roland Matthes|M|25|189|74|East Germany
11219|Thomas John "Johnnie" Matthews|M|21|177|67|Great Britain
11220|Kenneth Joseph "Ken" Matthews|M|30|185|78|Great Britain
11221|Margaret Rejean Matthews (-Wilburn)|F|21|165|57|United States
11222|Peter Matthews|M|26|188|84|Jamaica
11223|Vincent Edward "Vince" Matthews|M|24|187|81|United States
11224|Margriet Matthijsse|F|23|177|70|Netherlands
11225|Marcus Laborne Mattioli|M|19|181|75|Brazil
11226|Werner Mattle|M|22|183|70|Switzerland
11227|Sergio Armando Matto Surez|M|26|182|82|Uruguay
11228|Katrin Mattscherodt|F|28|165|70|Germany
11229|Gustaf Isidor Mattsson|M|26|169|60|Sweden
11230|Sofia Magdalena Mattsson|F|26|164|56|Sweden
11231|eljko Matu|M|25|177|75|Yugoslavia
11232|Vasilijus Matuevas|M|22|186|80|Soviet Union
11233|Sergey Yuryevich Matveyev|M|23|192|94|Russia
11234|Serhiy Leonidovych Matvieiev|M|25|183|78|Ukraine
11235|Ihor Hryhorovych Matviyenko|M|25|178|69|Ukraine
11236|Viktor Antonovych Matviyenko|M|27|175|72|Soviet Union
11237|Auguszta Mtys|F|28|171|70|Hungary
11238|Evelyn Matz (-Hbscher)|F|24|176|70|East Germany
11239|Michael Ray Matz|M|45|180|75|United States
11240|Renata Magorzata Mauer-Raska|F|31|154|50|Poland
11241|Gisela Mauermayer|F|22|172|70|Germany
11242|Maria Maunder|F|24|180|72|Canada
11243|Jrgen Maune|M|25|191|87|East Germany
11244|Amlie Simone Mauresmo|F|25|175|69|France
11245|Maurcio Camargo Lima|M|36|184|81|Brazil
11246|Maurine Dorneles Gonalves|F|22|159|51|Brazil
11247|Serge Jean Maury|M|26|182|78|France
11248|Marie Mvers|F|25|170|67|Germany
11249|Umyar Abdullovich Mavlikhanov|M|31|179|77|Soviet Union
11250|Philipp Max|M|22|177|76|Germany
11251|Elisabeth "Sissy" Max-Theurer|F|23|168|60|Austria
11252|David Lindsay Maxwell|M|25|196|86|Great Britain
11253|Stephanie H. Maxwell-Pierson|F|28|180|77|United States
11254|Fiona Winsome Marcia May (-Iapichino)|F|30|181|60|Italy
11255|Scott Glenn May|M|22|200|99|United States
11256|Torsten May|M|22|193|81|Germany
11257|William Lee "Willie" May|M|23|192|89|United States
11258|Misty Erie May-Treanor|F|34|175|72|United States-1
11259|John Edward Mayasich|M|26|185|86|United States
11260|Anthuan Maybank|M|26|188|81|United States
11261|Andria "Maycon" dos Santos|F|31|155|56|Brazil
11262|Christian Mayer|M|26|180|97|Austria
11263|Derek Christopher Mayer|M|26|183|91|Canada
11264|Kvin Mayer|M|24|186|77|France
11265|Matthias Mayer|M|23|179|87|Austria
11266|Mihly Mayer|M|34|185|81|Hungary
11267|Travis Mayer|M|19|178|68|United States
11268|Bronwyn Mayer-Smith|F|26|176|65|Australia
11269|Christian Mayerhfer|M|21|188|80|Germany
11270|Viktor Viktorovich Maygurov|M|33|170|70|Russia
11271|Andrew Lester Maynard|M|24|183|81|United States
11272|Freddy Santiago Mayola Fernndez|M|22|176|74|Cuba
11273|Boris Aleksandrovich Mayorov|M|29|176|72|Soviet Union
11274|Yevgeny Aleksandrovich Mayorov|M|25|172|72|Soviet Union
11275|Timothy Spencer "Tim" Mayotte|M|28|190|83|United States
11276|Wolfgang Mayrhofer|M|22|181|71|Austria
11277|Igor Anatolyevich Maystrenko|M|20|190|94|Soviet Union
11278|Floyd Joy Mayweather, Jr.|M|19|162|57|United States
11279|Viktor Georgiyevich Mazanov|M|25|190|82|Soviet Union
11280|Michael John Maze|M|22|185|76|Denmark
11281|Klementina "Tina" Maze|F|30|172|68|Slovenia
11282|Viktor Ivanovich Mazin|M|26|156|60|Soviet Union
11283|Mariya Valeryevna Mazina|F|36|175|62|Russia
11284|Svitlana Ivanivna Maziy (-Pachkun)|F|28|183|80|Ukraine
11285|Raimundas Mauolis|M|16|185|75|Soviet Union
11286|Josef Mazura|M|24|180|73|Czechoslovakia
11287|Andrs Mazzali|M|25|172|72|Uruguay
11288|Agustn Alejandro Mazzilli|M|27|173|77|Argentina
11289|Angelo Mazzoni|M|39|183|77|Italy
11290|Piotr Maachowski|M|33|193|130|Poland
11291|Aleksander Antoni Wodzimierz Maecki (Saryusz)|M|26|175|70|Poland
11292|Adam Henryk Maysz|M|32|170|55|Poland
11293|Modeste M''Bami|M|17|172|67|Cameroon
11294|Henri Patrick M''Boma Dem|M|29|185|84|Cameroon
11295|Franoise Mbango Etone|F|32|172|63|Cameroon
11296|Samuel Mbugua|M|26|173|60|Kenya
11297|Kayla McAlister|F|27|169|70|New Zealand
11298|Kennedy Kane "Ken" McArthur|M|30|188|77|South Africa
11299|Marnie Elizabeth McBean|F|28|177|74|Canada
11300|Thomas Sean "Tom" McBreen|M|19|183|70|United States
11301|John Peter Robert McBryde|M|25|177|71|Australia
11302|Conlin McCabe|M|21|205|100|Canada
11303|Frank Reilly McCabe|M|25|203|102|United States
11304|Albert John "Bert" McCaffrey|M|29|178|82|Canada
11305|John Paul "Pete" McCaffrey|M|25|198|98|United States
11306|Robert "Rob" McCall|M|29|175|72|Canada-1
11307|Shona Clare McCallin|F|24|165|69|Great Britain
11308|Michael Anthony McCann|M|26|182|73|Australia
11309|Terrence John "Terry" McCann|M|26|162|57|United States
11310|Wayne McCarney|M|22|181|76|Australia
11311|John William "Jack" McCartan|M|24|185|89|United States
11312|Margaret Ann "Peggy" McCarthy|F|20|175|64|United States
11313|Eliza McCartney|F|19|179|66|New Zealand
11314|Katrina Felicia McClain (-Johnson)|F|30|188|62|United States
11315|Robert Bruce "Rob" McClanahan|M|22|178|82|United States
11316|Lynette Velma "Lyn" McClements (-McKenzie)|F|17|177|66|Australia
11317|Brett McClure|M|23|167|67|United States
11318|Wilbert James McClure|M|21|170|70|United States
11319|Joseph Paul "Joe" McCluskey|M|21|183|71|United States
11320|Elizabeth "Liz" McColgan (Lynch-, -Nuttall)|F|24|170|45|Great Britain
11321|William David Robert "Billy" McConnell|M|28|177|73|Great Britain
11322|Suzanne Theresa "Suzie" McConnell (-Serio)|F|25|162|50|United States
11323|Ruaridh Lawson McConnochie|M|24|190|93|Great Britain
11324|Courtney Lynn McCool|F|16|154|43|United States
11325|Alicia McCormack|F|29|167|76|Australia
11326|Katheryn Anne "Kathy" McCormack|F|23|175|77|Canada
11327|Joseph Wallace "Joe" McCormick|M|25|175|67|United States
11328|Kelly Anne McCormick|F|28|162|55|United States
11329|Patricia Joan "Pat" McCormick (Keller-)|F|26|162|58|United States
11330|Francena Lynette McCorory|F|27|171|68|United States
11331|Alastair McCorquodale|M|22|183|78|Great Britain
11332|Angel Lajuane McCoughtry|F|29|185|70|United States
11333|James Vincent "Jim" McCourt|M|20|170|64|Ireland
11334|Walter Lee McCoy|M|25|178|72|United States
11335|Nikki Kensengane McCray|F|28|181|72|United States
11336|Nicholas Montgomery "Nick" McCrory|M|20|178|74|United States
11337|Steven D. "Steve" McCrory|M|20|165|51|United States
11338|Kaarle McCulloch|F|24|168|69|Australia
11339|Wayne William McCullough|M|22|162|48|Ireland
11340|Joan Elizabeth McCusker (Inglis-)|F|32|170|95|Canada
11341|Mildred Louise "Millie" McDaniel (-Singleton)|F|23|176|55|United States
11342|Heather Jane McDermid|F|31|178|68|Canada
11343|Sally Jane McDermid-McCreedy|F|35|176|80|Australia
11344|Richard Terrance "Terry" McDermott|M|27|178|80|United States
11345|Beverly McDonald (-Stewart)|F|34|169|59|Jamaica
11346|Deborah "Debbie" McDonald|F|49|152|49|United States
11347|Andrew John "Drew" McDonald|M|28|195|91|United States
11348|Julie Maree McDonald|F|18|174|66|Australia
11349|Michael L. McDonald|M|25|183|85|Jamaica
11350|Patrick Joseph "Pat" McDonald (McDonnell-)|M|41|190|120|United States
11351|Rusheen McDonald|M|23|175|81|Jamaica
11352|Ralph Patrick "Pat" McDonough|M|23|167|70|United States
11353|Duncan McDougall|M|21|185|82|Great Britain
11354|Paul L. McDowell|M|23|176|81|United States
11355|Antonio Keithflen McDyess|M|26|202|109|United States
11356|Marcus McElhenney|M|27|163|55|United States
11357|James Donald "Jim" McElmury|M|22|183|86|United States
11358|Cameron McEvoy|M|22|185|70|Australia
11359|James Patrick "Jamie" McEwan|M|19|183|77|United States
11360|Dawn McEwen (Askin-)|F|33|162|61|Canada
11361|Lauren McFall|F|24|175|58|United States
11362|Jennifer Yvonne McFalls|F|28|167|68|United States
11363|Danny D. McFarlane|M|32|183|75|Jamaica
11364|Michael Anthony "Mike" McFarlane|M|28|178|74|Great Britain
11365|Tracey Danielle McFarlane (-Mirande)|F|22|172|59|United States
11366|David Rockwell McFaull|M|27|178|64|United States
11367|Kathleen Ann "Kathy" McGahey (-Heinzler)|F|24|167|59|United States
11368|Richard Michael "Rich" McGeagh|M|20|191|84|United States
11369|Bradley John "Brad" McGee|M|28|182|72|Australia
11370|Pamela Denise McGee|F|21|190|77|United States
11371|Carla Renee McGhee|F|28|188|75|United States
11372|Tyler Tennant McGill|M|24|180|78|United States
11373|Charles English McGinnis|M|21|180|68|United States
11374|Stephen John McGlede|M|23|177|71|Australia
11375|Richard Anthony "Dick" McGlynn|M|23|183|86|United States
11376|Malcolm R. McGowan|M|24|188|89|Great Britain
11377|Matthew John "Matt" McGrath|M|48|182|115|United States
11378|Robert Bilsland "Bobby" McGregor|M|20|185|80|Great Britain
11379|Yvonne McGregor|F|39|165|56|Great Britain
11380|Scott Anthony McGrory|M|30|185|73|Australia
11381|Edith Marie McGuire (-Duvall)|F|20|173|59|United States
11382|Lincoln Paul McIlravy|M|26|172|69|United States
11383|Charles Joseph "Charley" McIlvaine, Sr.|M|24|179|69|United States
11384|Aaron John McIntosh|M|28|177|71|New Zealand
11385|James Stewart "Jim" McIntosh|M|26|185|81|United States
11386|Troy McIntosh|M|27|178|73|Bahamas
11387|Alan Lionel McIntyre|M|26|167|75|New Zealand
11388|Elizabeth Geary "Liz" McIntyre|F|28|173|61|United States
11389|Michael Mackay "Mike" McIntyre|M|32|190|86|Great Britain
11390|Ashleigh McIvor (-DeMerit)|F|26|178|66|Canada
11391|Antonio Ricardo McKay|M|24|183|77|United States
11392|Michael Scott "Mike" McKay|M|39|192|91|Australia
11393|Charles "Charlie" McKee|M|38|179|79|United States
11394|Jonathan Dunn McKee|M|40|177|73|United States
11395|Alexander Timothy "Tim" McKee|M|23|173|70|United States
11396|Edward Daniel "Ed" McKeever|M|28|173|79|Great Britain
11397|Herbert Henry "Herb" McKenley|M|30|185|72|Jamaica
11398|Donald Ward "Don" McKenzie, Jr.|M|21|186|80|United States
11399|Jack McKenzie|M|25|190|86|Canada
11400|Cameron "Maxi" McKenzie-McHarg|M|28|196|98|Australia
11401|Emma McKeon|F|22|180|60|Australia
11402|Taylor McKeown|F|21|178|65|Australia
11403|William Alister M. "Bill" McKerlich|M|23|193|89|Canada
11404|William McKie|M|Null|170|60|Great Britain
11405|Patricia Jean "Pat" McKillop (Fraser-, -Williams)|F|24|160|55|Zimbabwe
11406|Arthur Frank "Art" McKinlay|M|24|186|79|United States
11407|John Dickinson McKinlay|M|24|186|82|United States
11408|Frank Edward McKinney, Jr.|M|21|184|74|United States
11409|Kennedy McKinney|M|22|170|54|United States
11410|Richard Lee "Rick" McKinney|M|34|170|59|United States
11411|Daniel Duncan "Dan" McKinnon|M|33|185|95|United States
11412|Mark Anthony McKoy|M|30|181|70|Canada
11413|Timothy George "Tim" McLaren|M|27|193|89|Australia
11414|Brianne Lea McLaughlin|F|22|173|59|United States
11415|Frank Joseph McLaughlin|M|28|180|75|Canada
11416|Jeffrey Dean "Jeff" McLaughlin|M|26|198|91|United States
11417|Terence "Terry" McLaughlin|M|28|182|78|Canada
11418|Anneisha McLaughlin-Whilby|F|30|170|65|Jamaica
11419|Alexander "Alec" McLean|M|25|192|86|New Zealand
11420|Matthew "Matt" McLean|M|24|198|100|United States
11421|Sally McLellan-Pearson|F|25|167|60|Australia
11422|Erin Katrina McLeod|F|29|174|73|Canada
11423|Michael James "Mike" McLeod|M|32|180|63|Great Britain
11424|Robert Brian McMahon|M|23|178|55|Canada
11425|Brigitte McMahon (Huber-)|F|33|170|55|Switzerland
11426|Sara McMann|F|23|167|62|United States
11427|William Willard "Bill" McMillan|M|31|183|91|United States
11428|Kathy Laverne McMillan (-Ray)|F|18|170|57|United States
11429|Robert Earl "Bob" McMillen|M|24|180|68|United States
11430|Charles Thomas "Tom" McMillen|M|20|212|95|United States
11431|Mark McMorris|M|20|180|72|Canada
11432|David "Dave" McMullin, III|M|24|178|79|United States
11433|John Joseph "Don" McNamara, Jr.|M|32|192|97|Bingo
11434|Julianne Lyn McNamara (-Zeile)|F|18|148|40|United States
11435|Lesley McNaught-Mndli|F|36|173|70|Switzerland
11436|Duncan Anderson McNaughton|M|21|193|80|Canada
11437|Ian T. McNuff|M|23|183|85|Great Britain
11438|Louise McPaul-Currey|F|27|175|68|Australia
11439|Holly S. McPeak (-Armato)|F|35|170|62|United States-2
11440|Paige Arielle McPherson|F|21|173|65|United States
11441|Stephenie Ann McPherson|F|27|173|57|Jamaica
11442|Tony McQuay|M|26|181|72|United States
11443|Rachel Jane McQuillan|F|20|174|61|Australia
11444|Francine McRae|F|27|172|64|Australia
11445|James McRae|M|29|193|93|Australia
11446|Richard "Dick" McTaggart|M|24|175|60|Great Britain
11447|Robert Patrick "Bob" McVey|M|23|190|96|United States
11448|Donald James "Don" McWatters|M|23|183|79|Australia
11449|Jackie Amanda McWilliams|F|28|160|65|Great Britain
11450|Mhmmdrsul Mcidov|M|25|190|91|Azerbaijan
11451|Andrea Bario Mead-Lawrence|F|19|173|59|United States
11452|Richard John Hannay Meade|M|33|183|70|Great Britain
11453|Earle Elmer Meadows|M|23|185|72|United States
11454|Aileen Aletha Meagher|F|25|168|55|Canada
11455|Mary Terstegge Meagher (-Plant)|F|23|172|64|United States
11456|Anna Maree Devenish Meares|F|32|165|70|Australia
11457|Christopher James "Chris" Mears|M|23|172|70|Great Britain
11458|Miloslav Me|M|24|190|81|Czechoslovakia
11459|Linda Flan Medalen|F|31|167|62|Norway
11460|Philippe Mdard|M|33|185|85|France
11461|Gisela Medefindt (-Bodis)|F|23|172|65|East Germany
11462|Heinrich Mederow|M|26|186|84|East Germany
11463|Ana Isabel "Anabel" Medina Garrigues|F|26|169|59|Spain-1
11464|Nicols Rubn Medina|M|22|176|75|Argentina
11465|Krisztina Medveczky|F|14|160|49|Hungary
11466|Aleksandr Vasilyevich Medved|M|34|190|102|Soviet Union
11467|Aleksey Vladimirovich Medvedev|M|23|204|120|Belarus
11468|Yevgeniya Vladimirovna Medvedeva (Arbuzova-)|F|29|158|56|Russia
11469|Valery Alekseyevich Medvedtsev|M|27|173|66|Unified Team
11470|Molly Meech|F|23|178|74|New Zealand
11471|Sam Meech|M|25|183|81|New Zealand
11472|Chantal Olivia Meek|F|29|162|55|Australia
11473|Folkert Meeuw|M|25|179|75|West Germany
11474|Helge Folkert Meeuw|M|19|178|76|Germany
11475|Robert Meeuwsen|M|28|207|92|Netherlands-1
11476|Arnulf Meffle|M|26|184|84|West Germany
11477|Zemfira Aliyevna Meftkhtddinova|F|41|164|66|Azerbaijan
11478|Gheorghe Megelea|M|22|192|101|Romania
11479|Gregory "Greg" Meghoo|M|18|180|74|Jamaica
11480|Ferdinando Meglio|M|29|176|68|Italy
11481|Eberhard Mehl|M|25|182|80|Germany
11482|Gabriele Mehl|F|25|184|74|Germany
11483|Majda Mehmedovi|F|22|170|67|Montenegro
11484|George Nicholas Mehnert|M|26|160|54|United States
11485|Dirk Meier|M|24|188|76|East Germany
11486|Gnther Meier|M|27|176|70|West Germany
11487|Kurt Meier|M|31|181|97|Switzerland-1
11488|Petra Meier-Felke|F|29|172|64|East Germany
11489|Latitia Irne Meignan|F|32|170|74|France
11490|Elsiena Janneke "Elien" Meijer|F|30|177|71|Netherlands
11491|Theodorus Johannes "Theo" Meijer|M|27|194|95|Netherlands
11492|Catherine Michelle "Katie" Meili|F|25|170|61|United States
11493|Launi Kay Meili (-Geddes)|F|29|170|64|United States
11494|Marcus "Marc" Meiling|M|26|194|95|West Germany
11495|Rta Meilutyt|F|15|176|75|Lithuania
11496|Maren Meinert|F|27|173|69|Germany
11497|Niklas Meinert|M|27|181|80|Germany
11498|Gerek Lin Meinhardt|M|26|183|80|United States
11499|Sven Meinhardt|M|20|187|83|Germany
11500|Filip Meirhaeghe|M|29|174|70|Belgium
11501|Joachim Meischner|M|25|176|70|East Germany
11502|Jochen Meiner|M|25|179|79|West Germany
11503|Katrin Meiner|F|15|187|80|East Germany
11504|Alexandra Meissnitzer|F|32|165|62|Austria
11505|Paul Meister|M|26|186|74|Switzerland
11506|Mahiedine Mekhissi-Benabbad|M|31|190|75|France
11507|Yegor Leonidovich Mekhontsev|M|27|185|81|Russia
11508|Anik Meksz|F|31|176|65|Hungary
11509|Vladimir Mikhaylovich Melanin|M|30|172|74|Soviet Union
11510|Oskars Melbrdis|M|25|189|95|Latvia-1
11511|Jerzy Melcer|M|27|196|85|Poland
11512|Urbia Melndez Rodrguez|F|28|166|49|Cuba
11513|Aleksandr Remmovich Melentyev|M|26|177|82|Soviet Union
11514|Harry Clemens "Buddy" Melges, Jr.|M|42|183|86|United States
11515|Judith Ellen "Judy" Melick|F|18|168|57|United States
11516|Antiopi Melidoni|F|26|171|63|Greece
11517|Loraine "Lori" Melien|F|16|168|57|Canada
11518|Yury Afanasyevich Melikhov|M|23|175|76|Soviet Union
11519|Bektemir Ruzmatzhonovich Melikuziyev|M|20|177|75|Uzbekistan
11520|Arsen Melikyan|M|24|170|77|Armenia
11521|Antal Melis|M|22|185|81|Hungary
11522|Zoltn Melis|M|21|186|81|Hungary
11523|Ioannis Melissanidis|M|19|172|59|Greece
11524|Hjalmar Stefanus Mellander|M|25|183|80|Sweden
11525|Dagny Mellgren|F|22|165|67|Norway
11526|Wilhelm "Willi" Melliger|M|47|170|73|Switzerland
11527|Matthias Mellinghaus|M|23|199|93|West Germany
11528|Thomas Robert "Tom" Mellor|M|22|183|84|United States
11529|Oussama Mellouli|M|28|192|84|Tunisia
11530|Yury Vasilyevich Melnichenko|M|24|167|58|Kazakhstan
11531|Faina Grigoryevna Melnik (-Veleva)|F|27|174|88|Soviet Union
11532|Olga Ivanovna Melnik|F|23|174|64|Russia
11533|Boris Borisovich Melnikov|M|26|175|68|Soviet Union
11534|Nikolay Andreyevich Melnikov|M|24|184|86|Soviet Union
11535|Pavel Vladimirovich Melnikov|M|26|198|94|Russia
11536|Angelina Romanovna Melnikova|F|16|151|44|Russia
11537|Antonina Alekseyevna Melnikova (-Pilipenko)|F|22|170|65|Soviet Union
11538|Yelena Vladimirovna Melnikova (-Chepikova)|F|20|167|55|Unified Team
11539|Borys Petrovych Melnyk|M|27|173|86|Soviet Union
11540|Muhamed Memi|M|28|186|88|Yugoslavia
11541|Refik Memievi|M|28|188|112|Yugoslavia
11542|Chellsie Marie Memmel (-Maier)|F|20|160|54|United States
11543|Jess Mena Campos|M|20|166|65|Mexico
11544|Arsne Claude Mnard|M|21|180|59|France
11545|Ivn Menczel|M|26|178|72|Hungary
11546|Tams Mendelnyi|M|24|184|78|Hungary
11547|Javier Mndez Gonzlez|M|36|174|84|Cuba
11548|Manuel Mendvil Yocupicio|M|44|176|68|Mexico
11549|Jessica Mendoza (-Burks)|F|27|173|66|United States
11550|Nurlan Zhaybergenovich Mendygaliyev|M|27|192|95|Soviet Union
11551|Dino Meneghin|M|30|204|110|Italy
11552|Herminio Menndez Rodrguez|M|26|180|86|Spain
11553|Osleidys Menndez Sez|F|24|175|80|Cuba
11554|Sarah Gabrielle Cabral de Menezes|F|22|154|48|Brazil
11555|Gemma Mengual Civil|F|31|173|54|Spain
11556|Franco Menichelli|M|23|163|60|Italy
11557|Joaqun Menini|M|24|182|76|Argentina
11558|Argentina Menis|F|24|171|85|Romania
11559|Carol Jean Menken-Schaudt|F|26|195|77|United States
11560|Oksana Vladimirovna Menkova|F|26|186|85|Belarus
11561|Wilhelm "Willi" Menne|M|25|183|70|Germany
11562|Pietro Paolo Mennea|M|28|180|73|Italy
11563|Florian Mennigen|M|30|194|93|Germany
11564|Danil Theodor Mensch|M|25|200|97|Netherlands
11565|Ulrich Mense|M|37|183|100|Mutafo
11566|Barbara Mensing|F|39|170|70|Germany
11567|Wieger Emile Mensonides|M|22|178|81|Netherlands
11568|Karl-Heinz Menz|M|26|180|73|East Germany
11569|Marco Meoni|M|27|197|86|Italy
11570|Ral Ebers Mera Pozzi|M|20|181|84|Uruguay
11571|Nouria Mrah-Benida|F|29|162|54|Algeria
11572|Yulis Gabriel Mercedes Reyes|M|28|163|58|Dominican Republic
11573|Carlos Mercenario Carbajal|M|25|175|63|Mexico
11574|David Mercer|M|23|170|89|Great Britain
11575|Raymond A. "Ray" Mercer|M|27|185|91|United States
11576|Gaston Antoine Mercier|M|24|190|88|France
11577|Axel Merckx|M|32|191|76|Belgium
11578|Richard Otis "Dick" Meredith|M|27|170|70|United States
11579|James Edwin "Ted" Meredith|M|20|175|71|United States
11580|Florin Mergea|M|31|180|76|Romania
11581|Pivi Aulikki Meriluoto-Aaltonen|F|27|171|61|Finland
11582|Delfina Merino|F|22|169|59|Argentina
11583|Rolando Merio Betancourt|M|37|187|94|Cuba
11584|Emanuele Erminio Merisi|M|23|186|78|Italy
11585|Larisa Viktorovna Merk|F|29|180|80|Russia
11586|Petar Khristov Merkov|M|23|188|95|Bulgaria
11587|Carole Hlne Merle (-Pellet)|F|28|160|57|France
11588|Iryna Oleksivna Merleni-Mykulchyn (Melnyk-)|F|26|156|48|Ukraine
11589|Rick Merlo|M|26|191|98|United States
11590|Faustine Lucie Merret|F|26|163|54|France
11591|Robert M. "Bob" Merrick|M|29|185|66|United States
11592|John Edward Merricks|M|25|173|62|Great Britain
11593|Ronald Marshall "Ron" Merriott|M|24|170|71|United States
11594|Aries D''Andre Merritt|M|27|188|72|United States
11595|LaShawn Merritt|M|30|191|86|United States
11596|Katharine Merry|F|25|173|62|Great Britain
11597|Terhi Eveliina Mertanen|F|28|166|68|Finland
11598|Heinz Mertel|M|32|180|83|West Germany
11599|Glen Alexander Mervyn|M|23|193|89|Canada
11600|Suzanne "Sue" Merz|F|29|165|66|United States
11601|Arnaldo Mesa Bonell|M|28|167|57|Cuba
11602|Germn Mesa Fresneda|M|33|172|68|Cuba
11603|Liana Mesa Luaces|F|26|182|73|Cuba
11604|Vctor Mesa Martnez|M|32|182|86|Cuba
11605|Ona Meseguer Flaqu|F|24|167|62|Spain
11606|Nataliya Alekseyevna Meshcheryakova|F|20|186|68|Unified Team
11607|Leila Meskhi (-Nadibaidze)|F|24|164|54|Unified Team
11608|Steven Michael "Steve" Mesler|M|31|188|98|United States-1
11609|Daniel Mesotitsch|M|37|180|78|Austria
11610|Uwe Messerschmidt|M|22|173|66|West Germany
11611|Lionel Andrs Messi Cuccittini|M|21|169|67|Argentina
11612|Magali Di Marco Messmer (Chopard-)|F|29|166|53|Switzerland
11613|Heinrich "Heini" Messner|M|32|176|75|Austria
11614|Istvn Messzi|M|27|175|82|Hungary
11615|ula Meter|M|28|203|92|Serbia and Montenegro
11616|Giandomenico Mesto|M|22|180|78|Italy
11617|Erika Mszros|F|26|176|66|Hungary
11618|Gyrgy Mszros|M|27|181|80|Hungary
11619|Mikls Meszna|M|27|181|78|Hungary
11620|Harriet Morris "Holly" Metcalf|F|26|172|74|United States
11621|Adrian Peter Metcalfe|M|22|188|87|Great Britain
11622|John Patrick "Jack" Metcalfe|M|24|183|80|Australia
11623|Ralph Harold Metcalfe|M|26|180|82|United States
11624|Malia Metella|F|22|175|67|France
11625|Mehdy Metella|M|24|190|90|France
11626|Petar Metlii|M|27|194|94|Croatia
11627|Penka Metodieva|F|29|166|62|Bulgaria
11628|Caren Metschuck (-Mahn)|F|16|184|76|East Germany
11629|William Roy "Bill" Mettler, Jr.|M|17|180|77|United States
11630|Lothar Metz|M|29|184|90|East Germany
11631|Michael Metz|M|28|180|75|Germany
11632|Stefan Metz|M|24|176|71|West Germany
11633|Karin Metze (-Ulbricht)|F|23|180|82|East Germany
11634|Manfred E. Metzger|M|55|168|75|Ballerina IV
11635|Maxwell Raymond "Max" Metzker|M|20|179|70|Australia
11636|Daniela Meuli|F|24|183|74|Switzerland
11637|Joseph "Jef" Mewis|M|25|166|62|Belgium
11638|Uwe-Jens Mey|M|28|180|78|Germany
11639|Alvah T. Meyer|M|23|173|65|United States
11640|Christian Meyer|M|22|185|67|Germany
11641|Deborah Elizabeth "Debbie" Meyer (-Weber)|F|16|170|52|United States
11642|Elana Meyer (-van Zyl)|F|25|158|55|South Africa
11643|Heiko Meyer|M|23|160|57|Germany
11644|Horst Meyer|M|27|183|84|West Germany
11645|Max Adolf Karsten Meyer|M|34|185|90|West Germany
11646|Maximilian Meyer|M|20|173|60|Germany
11647|Ann Elizabeth Meyers (-Drysdale)|F|21|175|61|United States
11648|Elana Alessandra Meyers (-Taylor)|F|29|170|82|United States-1
11649|Mary Margret Meyers (-Berger, -Rothstein)|F|21|163|59|United States
11650|William Ernest Meyers|M|17|179|56|South Africa
11651|Ulrike Meyfarth (-Nasse)|F|28|188|70|West Germany
11652|Anne Meygret (-Brottel)|F|19|166|55|France
11653|Boaz Cornelius Meylink|M|32|195|93|Netherlands
11654|William Meynard|M|29|190|85|France
11655|Ruslan Volodymyrovych Mezentsev|M|19|168|60|Ukraine
11656|Assefa Mezgebu|M|22|175|55|Ethiopia
11657|Mia Audina Tjiptawan-Lobman|F|24|163|67|Netherlands
11658|Michele Mian|M|31|193|95|Italy
11659|Przemysaw Miarczyski|M|32|185|78|Poland
11660|Martina Miceli|F|30|168|62|Italy
11661|Liane Michaelis|F|23|165|63|East Germany
11662|Meredith T. Michaels-Beerbaum|F|46|162|51|Germany
11663|Monika Ewa Michalik (Rogien-)|F|36|167|63|Poland
11664|Julia Ludwika Michalska|F|27|179|69|Poland
11665|Bjrn Michel|M|29|185|82|Germany
11666|Elisabeth Micheler-Jones|F|26|160|52|Germany
11667|Chantelle Lee Michell-Newbery|F|27|153|53|Australia
11668|Hiroshi Michinaga|M|19|175|68|Japan
11669|Klaus Michler|M|22|185|75|Germany
11670|Timothy Carl "Tim" Mickelson|M|23|191|85|United States
11671|Anna Mickelson-Cummins|F|28|183|75|United States
11672|Ingrid Mickler-Becker (-Inglau)|F|29|177|66|West Germany
11673|Maria Mica-Macoviciuc|F|23|181|73|Romania
11674|Mark Petrovich Midler|M|33|175|75|Soviet Union
11675|Jonathan Midol|M|26|184|86|France
11676|Kristin Midthun (-Ihle)|F|27|173|67|Norway
11677|Grzegorz Micha Mielcarski|M|21|188|83|Poland
