id|Name|Sex|Age|Height|Weight|Team
454|Nils Peter Andersson|M|25|190|92|Sweden
455|Ramon Dean Andersson|M|29|188|95|Australia
456|Robert Andersson|M|26|191|83|Sweden
457|Carl Sture Mikael Andersson|M|30|173|77|Sweden
458|Carola Anding (-Jacob)|F|19|168|53|East Germany
459|Soslan Petrovich Andiyev|M|28|194|125|Soviet Union
460|Kenkichi Ando|M|26|154|59|Japan
461|Kozue Ando|F|30|164|57|Japan
462|Misako Ando|F|29|163|60|Japan
463|Yuya Ando|M|26|183|89|Japan
464|Jorge Luiz Andrade da Silva|M|31|170|72|Brazil
465|Jos Leandro Andrade|M|26|179|77|Uruguay
466|Andr Luiz Moreira|M|21|183|79|Brazil
467|William Jules "Bill" Andre|M|25|178|68|United States
468|Georges Ivan "Go" Andr (Monnard-)|M|30|188|85|France
469|Andr Lus dos Santos Ferreira|M|24|180|82|Brazil
470|Larry Edwin Andreasen|M|18|163|61|United States
471|Gunn Margit Aas Andreassen|F|28|177|60|Norway
472|Rolf Siljan Andreassen|M|27|190|88|Norway
473|Alessandro Andrei|M|25|191|118|Italy
474|Vasile Andrei|M|29|190|101|Romania
475|Andria Suntaque|F|30|175|65|Brazil
476|Severino Andreoli|M|23|173|73|Italy
477|Dominic Andres|M|25|179|74|Switzerland
478|Frode Andresen|M|32|191|76|Norway
479|Janice "Jan" Andrew (-Thornett)|F|16|162|54|Australia
480|Scott Andrews|M|24|175|85|Great Britain
481|Michelle "Shelley" Andrews (-Mitchell)|F|24|168|59|Australia
482|Theresa Andrews|F|21|167|62|United States
483|Sergey Vasilyevich Andreyev|M|24|173|70|Soviet Union
