id|Sport|EventPCount
222|Judo|Judo Women''s Half-Heavyweight|48
223|Rowing|Rowing Women''s Coxless Pairs|128
224|Equestrianism|Equestrianism Mixed Dressage, Individual|92
225|Fencing|Fencing Men''s Sabre, Individual|104
226|Gymnastics|Gymnastics Women''s Balance Beam|84
227|Curling|Curling Women''s Curling|124
228|Athletics|Athletics Women''s Javelin Throw|118
229|Snowboarding|Snowboarding Men''s Halfpipe|30
230|Figure Skating|Figure Skating Mixed Team|44
231|Triathlon|Triathlon Men''s Olympic Distance|30
232|Gymnastics|Gymnastics Men''s Pommelled Horse|96
233|Swimming|Swimming Women''s 4 x 200 metres Freestyle Relay|202
234|Cycling|Cycling Women''s Team Pursuit|46
235|Alpine Skiing|Alpine Skiing Women''s Giant Slalom|88
236|Alpine Skiing|Alpine Skiing Women''s Combined|50
237|Alpine Skiing|Alpine Skiing Women''s Downhill|82
238|Canoeing|Canoeing Women''s Kayak Fours, 500 metres|214
239|Cross Country Skiing|Cross Country Skiing Women''s 10 kilometres|74
240|Athletics|Athletics Men''s 20 kilometres Walk|86
241|Canoeing|Canoeing Men''s Kayak Doubles, 500 metres|108
242|Shooting|Shooting Mixed Free Rifle, Three Positions, 300 metres|12
243|Rowing|Rowing Men''s Coxless Pairs|196
244|Cycling|Cycling Men''s Madison|36
245|Snowboarding|Snowboarding Men''s Parallel Giant Slalom|24
246|Snowboarding|Snowboarding Men''s Parallel Slalom|6
247|Tennis|Tennis Men''s Singles, Covered Courts|2
248|Biathlon|Biathlon Women''s 10 kilometres Pursuit|24
249|Gymnastics|Gymnastics Women''s Team Portable Apparatus|26
250|Swimming|Swimming Men''s 100 metres Breaststroke|76
251|Sailing|Sailing Mixed Two Person Heavyweight Dinghy|112
252|Diving|Diving Women''s Springboard|70
253|Athletics|Athletics Women''s 100 metres|126
254|Bobsleigh|Bobsleigh Women''s Two|48
255|Sailing|Sailing Mixed Two Person Keelboat|162
256|Athletics|Athletics Women''s 3,000 metres|18
257|Athletics|Athletics Men''s 100 metres|168
258|Athletics|Athletics Men''s Long Jump|158
259|Triathlon|Triathlon Women''s Olympic Distance|30
260|Tennis|Tennis Mixed Doubles|24
261|Cycling|Cycling Men''s BMX|18
262|Sailing|Sailing Men''s Two Person Dinghy|96
263|Freestyle Skiing|Freestyle Skiing Men''s Moguls|42
264|Swimming|Swimming Men''s 100 metres Backstroke|88
265|Athletics|Athletics Men''s 1,500 metres|154
266|Athletics|Athletics Men''s 3 mile, Team|20
267|Athletics|Athletics Men''s Cross-Country, Team|92
268|Shooting|Shooting Men''s Double Trap|30
269|Biathlon|Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay|24
270|Equestrianism|Equestrianism Mixed Jumping, Individual|96
271|Athletics|Athletics Men''s 400 metres|154
272|Athletics|Athletics Men''s Triple Jump|154
273|Athletics|Athletics Men''s Discus Throw|162
274|Weightlifting|Weightlifting Men''s All-Around Dumbbell Contest|4
275|Rowing|Rowing Men''s Lightweight Coxless Fours|140
276|Badminton|Badminton Men''s Singles|28
277|Weightlifting|Weightlifting Women''s Flyweight|24
278|Canoeing|Canoeing Men''s Kayak Singles, 10,000 metres|8
279|Canoeing|Canoeing Men''s Kayak Doubles, 10,000 metres|12
280|Shooting|Shooting Mixed Skeet|40
281|Freestyle Skiing|Freestyle Skiing Men''s Halfpipe|6
282|Swimming|Swimming Men''s 200 metres Backstroke|84
283|Athletics|Athletics Women''s Hammer Throw|26
284|Cycling|Cycling Women''s Mountainbike, Cross-Country|36
285|Equestrianism|Equestrianism Mixed Three-Day Event, Team|344
286|Canoeing|Canoeing Men''s Kayak Singles, 1,000 metres|100
287|Swimming|Swimming Men''s 100 metres Freestyle|106
288|Alpine Skiing|Alpine Skiing Women''s Super G|48
289|Cycling|Cycling Men''s Sprint|100
290|Cycling|Cycling Men''s Team Sprint|92
291|Sailing|Sailing Men''s Two Person Keelboat|36
292|Canoeing|Canoeing Men''s Canadian Singles, 500 metres|54
293|Tennis|Tennis Men''s Doubles|110
294|Swimming|Swimming Women''s 200 metres Freestyle|76
295|Swimming|Swimming Men''s 400 metres Individual Medley|84
296|Rugby Sevens|Rugby Sevens Women''s Rugby Sevens|72
297|Athletics|Athletics Men''s 200 metres|156
298|Cycling|Cycling Men''s Individual Pursuit, 4,000 metres|72
299|Athletics|Athletics Men''s Shot Put|160
300|Alpine Skiing|Alpine Skiing Men''s Slalom|84
301|Rowing|Rowing Women''s Coxless Fours|24
302|Shooting|Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres|24
303|Weightlifting|Weightlifting Women''s Super-Heavyweight|22
304|Athletics|Athletics Men''s High Jump|160
305|Diving|Diving Women''s Synchronized Platform|40
306|Sailing|Sailing Women''s Three Person Keelboat|54
307|Archery|Archery Men''s Team|136
308|Canoeing|Canoeing Women''s Kayak Singles, Slalom|44
309|Luge|Luge Mixed (Men)''s Doubles|164
310|Diving|Diving Women''s Platform|82
311|Equestrianism|Equestrianism Mixed Jumping, Team|346
312|Canoeing|Canoeing Men''s Canadian Doubles, 500 metres|100
313|Canoeing|Canoeing Men''s Kayak Singles, 500 metres|54
314|Fencing|Fencing Women''s Foil, Individual|94
315|Weightlifting|Weightlifting Men''s Bantamweight|68
316|Ski Jumping|Ski Jumping Men''s Normal Hill, Individual|84
317|Figure Skating|Figure Skating Men''s Singles|80
318|Wrestling|Wrestling Men''s Heavyweight, Greco-Roman|118
319|Boxing|Boxing Men''s Light-Flyweight|94
320|Wrestling|Wrestling Men''s Lightweight, Greco-Roman|104
321|Figure Skating|Figure Skating Women''s Singles|82
322|Softball|Softball Women''s Softball|314
323|Judo|Judo Men''s Half-Lightweight|78
324|Swimming|Swimming Men''s 1,500 metres Freestyle|108
325|Swimming|Swimming Men''s 400 metres Freestyle|102
326|Judo|Judo Women''s Heavyweight|40
327|Judo|Judo Men''s Open Class|38
328|Shooting|Shooting Mixed Trap|42
329|Rowing|Rowing Men''s Single Sculls|110
330|Gymnastics|Gymnastics Men''s Individual All-Around|94
331|Wrestling|Wrestling Women''s Flyweight, Freestyle|28
332|Boxing|Boxing Men''s Light-Welterweight|124
333|Cycling|Cycling Women''s Sprint|44
334|Skeleton|Skeleton Women''s Skeleton|24
335|Swimming|Swimming Men''s 200 metres Individual Medley|64
336|Wrestling|Wrestling Men''s Heavyweight, Freestyle|112
337|Wrestling|Wrestling Men''s Light-Heavyweight, Freestyle|102
338|Swimming|Swimming Women''s 100 metres Breaststroke|74
339|Biathlon|Biathlon Women''s 7.5 kilometres Sprint|42
340|Athletics|Athletics Men''s 800 metres|158
341|Cross Country Skiing|Cross Country Skiing Women''s 30 kilometres|40
342|Cross Country Skiing|Cross Country Skiing Women''s 5 kilometres|60
343|Cross Country Skiing|Cross Country Skiing Women''s 15 kilometres|24
